Date,MT Close,WSJ Close,Open,High,Low,Yahoo Close,Volume,Close
1937-06-21,167.98,,,,,,,167.98
1937-06-22,168.2,,,,,,,168.2
1937-06-23,169.01,,,,,,,169.01
1937-06-24,170.08,,,,,,,170.08
1937-06-25,169.59,,,,,,,169.59
1937-06-26,168.45,,,,,,,168.45
1937-06-28,166.71,,,,,,,166.71
1937-06-29,167.11,,,,,,,167.11
1937-06-30,169.32,,,,,,,169.32
1937-07-01,170.13,,,,,,,170.13
1937-07-02,172.22,,,,,,,172.22
1937-07-06,176.8,,,,,,,176.8
1937-07-07,177.74,,,,,,,177.74
1937-07-08,177.7,,,,,,,177.7
1937-07-09,177.4,,,,,,,177.4
1937-07-10,176.72,,,,,,,176.72
1937-07-12,178.7,,,,,,,178.7
1937-07-13,178.24,,,,,,,178.24
1937-07-14,178.57,,,,,,,178.57
1937-07-15,179.71,,,,,,,179.71
1937-07-16,179.53,,,,,,,179.53
1937-07-17,179.72,,,,,,,179.72
1937-07-19,182.06,,,,,,,182.06
1937-07-20,183.32,,,,,,,183.32
1937-07-21,182.35,,,,,,,182.35
1937-07-22,182.96,,,,,,,182.96
1937-07-23,183.78,,,,,,,183.78
1937-07-24,184.85,,,,,,,184.85
1937-07-26,184.42,,,,,,,184.42
1937-07-27,184.24,,,,,,,184.24
1937-07-28,182.57,,,,,,,182.57
1937-07-29,183.01,,,,,,,183.01
1937-07-30,184.01,,,,,,,184.01
1937-07-31,185.61,,,,,,,185.61
1937-08-02,186.91,,,,,,,186.91
1937-08-03,185.91,,,,,,,185.91
1937-08-04,186.8,,,,,,,186.8
1937-08-05,186.09,,,,,,,186.09
1937-08-06,185.43,,,,,,,185.43
1937-08-07,186.41,,,,,,,186.41
1937-08-09,186.75,,,,,,,186.75
1937-08-10,186.98,,,,,,,186.98
1937-08-11,186.72,,,,,,,186.72
1937-08-12,187.62,,,,,,,187.62
1937-08-13,189.29,,,,,,,189.29
1937-08-14,190.02,,,,,,,190.02
1937-08-16,189.34,,,,,,,189.34
1937-08-17,188.68,,,,,,,188.68
1937-08-18,187.39,,,,,,,187.39
1937-08-19,185.28,,,,,,,185.28
1937-08-20,182.95,,,,,,,182.95
1937-08-21,183.74,,,,,,,183.74
1937-08-23,181.88,,,,,,,181.88
1937-08-24,182.39,,,,,,,182.39
1937-08-25,181.7,,,,,,,181.7
1937-08-26,178.52,,,,,,,178.52
1937-08-27,175.91,,,,,,,175.91
1937-08-28,175.93,,,,,,,175.93
1937-08-30,177.88,,,,,,,177.88
1937-08-31,177.41,,,,,,,177.41
1937-09-01,173.08,,,,,,,173.08
1937-09-02,170.84,,,,,,,170.84
1937-09-03,172.17,,,,,,,172.17
1937-09-04,172.55,,,,,,,172.55
1937-09-07,164.39,,,,,,,164.39
1937-09-08,163.37,,,,,,,163.37
1937-09-09,166.36,,,,,,,166.36
1937-09-10,157.98,,,,,,,157.98
1937-09-11,159.96,,,,,,,159.96
1937-09-13,158.0,,,,,,,158.0
1937-09-14,162.9,,,,,,,162.9
1937-09-15,162.85,,,,,,,162.85
1937-09-16,164.75,,,,,,,164.75
1937-09-17,162.15,,,,,,,162.15
1937-09-18,157.83,,,,,,,157.83
1937-09-20,155.56,,,,,,,155.56
1937-09-21,156.56,,,,,,,156.56
1937-09-22,157.45,,,,,,,157.45
1937-09-23,153.98,,,,,,,153.98
1937-09-24,147.38,,,,,,,147.38
1937-09-25,147.47,,,,,,,147.47
1937-09-27,152.03,,,,,,,152.03
1937-09-28,153.16,,,,,,,153.16
1937-09-29,154.7,,,,,,,154.7
1937-09-30,154.57,,,,,,,154.57
1937-10-01,153.89,,,,,,,153.89
1937-10-02,154.08,,,,,,,154.08
1937-10-04,152.19,,,,,,,152.19
1937-10-05,144.08,,,,,,,144.08
1937-10-06,147.18,,,,,,,147.18
1937-10-07,146.59,,,,,,,146.59
1937-10-08,144.03,,,,,,,144.03
1937-10-09,143.93,,,,,,,143.93
1937-10-11,138.79,,,,,,,138.79
1937-10-13,138.2,,,,,,,138.2
1937-10-14,136.54,,,,,,,136.54
1937-10-15,135.48,,,,,,,135.48
1937-10-16,136.3,,,,,,,136.3
1937-10-18,125.73,,,,,,,125.73
1937-10-19,126.85,,,,,,,126.85
1937-10-20,134.56,,,,,,,134.56
1937-10-21,135.48,,,,,,,135.48
1937-10-22,132.26,,,,,,,132.26
1937-10-23,127.15,,,,,,,127.15
1937-10-25,134.43,,,,,,,134.43
1937-10-26,132.78,,,,,,,132.78
1937-10-27,132.26,,,,,,,132.26
1937-10-28,135.22,,,,,,,135.22
1937-10-29,138.48,,,,,,,138.48
1937-10-30,138.17,,,,,,,138.17
1937-11-01,135.94,,,,,,,135.94
1937-11-03,130.14,,,,,,,130.14
1937-11-04,128.84,,,,,,,128.84
1937-11-05,128.92,,,,,,,128.92
1937-11-06,125.25,,,,,,,125.25
1937-11-08,123.98,,,,,,,123.98
1937-11-09,126.16,,,,,,,126.16
1937-11-10,132.16,,,,,,,132.16
1937-11-12,133.09,,,,,,,133.09
1937-11-13,133.05,,,,,,,133.05
1937-11-15,129.22,,,,,,,129.22
1937-11-16,127.98,,,,,,,127.98
1937-11-17,127.54,,,,,,,127.54
1937-11-18,125.48,,,,,,,125.48
1937-11-19,118.13,,,,,,,118.13
1937-11-20,120.45,,,,,,,120.45
1937-11-22,114.19,,,,,,,114.19
1937-11-23,115.78,,,,,,,115.78
1937-11-24,113.64,,,,,,,113.64
1937-11-26,118.26,,,,,,,118.26
1937-11-27,123.71,,,,,,,123.71
1937-11-29,121.58,,,,,,,121.58
1937-11-30,123.48,,,,,,,123.48
1937-12-01,122.11,,,,,,,122.11
1937-12-02,125.14,,,,,,,125.14
1937-12-03,127.55,,,,,,,127.55
1937-12-04,127.79,,,,,,,127.79
